     radius[mm]      wavelength[nm]           Cabs
      2.060e-01          5.2000e+02     0.0000e+00
      2.060e-01          5.3000e+02     0.0000e+00
      2.060e-01          5.4000e+02     0.0000e+00
      2.060e-01          5.5000e+02     0.0000e+00
      2.060e-01          5.6000e+02     0.0000e+00
      2.060e-01          5.7000e+02     0.0000e+00
      2.060e-01          5.8000e+02     0.0000e+00
      2.060e-01          5.9000e+02     0.0000e+00
      2.060e-01          6.0000e+02     0.0000e+00
      2.060e-01          6.1000e+02     0.0000e+00
      2.060e-01          6.2000e+02     0.0000e+00
      2.060e-01          6.3000e+02     0.0000e+00
      2.060e-01          6.4000e+02     0.0000e+00
      2.060e-01          6.5000e+02     0.0000e+00
      2.060e-01          6.6000e+02     0.0000e+00
      2.060e-01          6.7000e+02     0.0000e+00
      2.060e-01          6.8000e+02     0.0000e+00
      2.060e-01          6.9000e+02     0.0000e+00

      2.450e-01          4.0000e+02     0.0000e+00
      2.450e-01          4.1000e+02     0.0000e+00
      2.450e-01          4.2000e+02     0.0000e+00
      2.450e-01          4.3000e+02     0.0000e+00
      2.450e-01          4.4000e+02     0.0000e+00
      2.450e-01          4.5000e+02     0.0000e+00
      2.450e-01          4.6000e+02     0.0000e+00
      2.450e-01          4.7000e+02     0.0000e+00
      2.450e-01          4.8000e+02     0.0000e+00
      2.450e-01          4.9000e+02     0.0000e+00
      2.450e-01          5.0000e+02     0.0000e+00
      2.450e-01          5.1000e+02     0.0000e+00
      2.450e-01          5.2000e+02     0.0000e+00
      2.450e-01          5.3000e+02     0.0000e+00
      2.450e-01          5.4000e+02     0.0000e+00
      2.450e-01          5.5000e+02     0.0000e+00
      2.450e-01          5.6000e+02     0.0000e+00
      2.450e-01          5.7000e+02     0.0000e+00
      2.450e-01          5.8000e+02     0.0000e+00
      2.450e-01          5.9000e+02     0.0000e+00
      2.450e-01          6.0000e+02     0.0000e+00
      2.450e-01          6.1000e+02     0.0000e+00
      2.450e-01          6.2000e+02     0.0000e+00
      2.450e-01          6.3000e+02     0.0000e+00
      2.450e-01          6.4000e+02     0.0000e+00
      2.450e-01          6.5000e+02     0.0000e+00
      2.450e-01          6.6000e+02     0.0000e+00
      2.450e-01          6.7000e+02     0.0000e+00
      2.450e-01          6.8000e+02     0.0000e+00
      2.450e-01          6.9000e+02     0.0000e+00

      2.840e-01          4.0000e+02     0.0000e+00
      2.840e-01          4.1000e+02     0.0000e+00
      2.840e-01          4.2000e+02     0.0000e+00
      2.840e-01          4.3000e+02     0.0000e+00
      2.840e-01          4.4000e+02     0.0000e+00
      2.840e-01          4.5000e+02     0.0000e+00
      2.840e-01          4.6000e+02     0.0000e+00
      2.840e-01          4.7000e+02     0.0000e+00
      2.840e-01          4.8000e+02     0.0000e+00
      2.840e-01          4.9000e+02     0.0000e+00
      2.840e-01          5.0000e+02     0.0000e+00
      2.840e-01          5.1000e+02     0.0000e+00
      2.840e-01          5.2000e+02     0.0000e+00
      2.840e-01          5.3000e+02     0.0000e+00
      2.840e-01          5.4000e+02     0.0000e+00
      2.840e-01          5.5000e+02     0.0000e+00
      2.840e-01          5.6000e+02     0.0000e+00
      2.840e-01          5.7000e+02     0.0000e+00
      2.840e-01          5.8000e+02     0.0000e+00
      2.840e-01          5.9000e+02     0.0000e+00
      2.840e-01          6.0000e+02     0.0000e+00
      2.840e-01          6.1000e+02     0.0000e+00
      2.840e-01          6.2000e+02     0.0000e+00
      2.840e-01          6.3000e+02     0.0000e+00
      2.840e-01          6.4000e+02     0.0000e+00
      2.840e-01          6.5000e+02     0.0000e+00
      2.840e-01          6.6000e+02     0.0000e+00
      2.840e-01          6.7000e+02     0.0000e+00
      2.840e-01          6.8000e+02     0.0000e+00
      2.840e-01          6.9000e+02     0.0000e+00

      3.230e-01          4.0000e+02     0.0000e+00
      3.230e-01          4.1000e+02     0.0000e+00
      3.230e-01          4.2000e+02     0.0000e+00
      3.230e-01          4.3000e+02     0.0000e+00
      3.230e-01          4.4000e+02     0.0000e+00
      3.230e-01          4.5000e+02     0.0000e+00
      3.230e-01          4.6000e+02     0.0000e+00
      3.230e-01          4.7000e+02     0.0000e+00
      3.230e-01          4.8000e+02     0.0000e+00
      3.230e-01          4.9000e+02     0.0000e+00
      3.230e-01          5.0000e+02     0.0000e+00
      3.230e-01          5.1000e+02     0.0000e+00
      3.230e-01          5.2000e+02     0.0000e+00
      3.230e-01          5.3000e+02     0.0000e+00
      3.230e-01          5.4000e+02     0.0000e+00
      3.230e-01          5.5000e+02     0.0000e+00
      3.230e-01          5.6000e+02     0.0000e+00
      3.230e-01          5.7000e+02     0.0000e+00
      3.230e-01          5.8000e+02     0.0000e+00
      3.230e-01          5.9000e+02     0.0000e+00
      3.230e-01          6.0000e+02     0.0000e+00
      3.230e-01          6.1000e+02     0.0000e+00
      3.230e-01          6.2000e+02     0.0000e+00
      3.230e-01          6.3000e+02     0.0000e+00
      3.230e-01          6.4000e+02     0.0000e+00
      3.230e-01          6.5000e+02     0.0000e+00
      3.230e-01          6.6000e+02     0.0000e+00
      3.230e-01          6.7000e+02     0.0000e+00
      3.230e-01          6.8000e+02     0.0000e+00
      3.230e-01          6.9000e+02     0.0000e+00

      3.620e-01          4.0000e+02     0.0000e+00
      3.620e-01          4.1000e+02     0.0000e+00
      3.620e-01          4.2000e+02     0.0000e+00
      3.620e-01          4.3000e+02     0.0000e+00
      3.620e-01          4.4000e+02     0.0000e+00
      3.620e-01          4.5000e+02     0.0000e+00
      3.620e-01          4.6000e+02     0.0000e+00
      3.620e-01          4.7000e+02     0.0000e+00
      3.620e-01          4.8000e+02     0.0000e+00
      3.620e-01          4.9000e+02     0.0000e+00
      3.620e-01          5.0000e+02     0.0000e+00
      3.620e-01          5.1000e+02     0.0000e+00
      3.620e-01          5.2000e+02     0.0000e+00
      3.620e-01          5.3000e+02     0.0000e+00
      3.620e-01          5.4000e+02     0.0000e+00
      3.620e-01          5.5000e+02     0.0000e+00
      3.620e-01          5.6000e+02     0.0000e+00
      3.620e-01          5.7000e+02     0.0000e+00
      3.620e-01          5.8000e+02     0.0000e+00
      3.620e-01          5.9000e+02     0.0000e+00
      3.620e-01          6.0000e+02     0.0000e+00
      3.620e-01          6.1000e+02     0.0000e+00
      3.620e-01          6.2000e+02     0.0000e+00
      3.620e-01          6.3000e+02     0.0000e+00
      3.620e-01          6.4000e+02     0.0000e+00
      3.620e-01          6.5000e+02     0.0000e+00
      3.620e-01          6.6000e+02     0.0000e+00
      3.620e-01          6.7000e+02     0.0000e+00
      3.620e-01          6.8000e+02     0.0000e+00
      3.620e-01          6.9000e+02     0.0000e+00

      4.010e-01          4.0000e+02     0.0000e+00
      4.010e-01          4.1000e+02     0.0000e+00
      4.010e-01          4.2000e+02     0.0000e+00
      4.010e-01          4.3000e+02     0.0000e+00
      4.010e-01          4.4000e+02     0.0000e+00
      4.010e-01          4.5000e+02     0.0000e+00
      4.010e-01          4.6000e+02     0.0000e+00
      4.010e-01          4.7000e+02     0.0000e+00
      4.010e-01          4.8000e+02     0.0000e+00
      4.010e-01          4.9000e+02     0.0000e+00
      4.010e-01          5.0000e+02     0.0000e+00
      4.010e-01          5.1000e+02     0.0000e+00
      4.010e-01          5.2000e+02     0.0000e+00
      4.010e-01          5.3000e+02     0.0000e+00
      4.010e-01          5.4000e+02     0.0000e+00
      4.010e-01          5.5000e+02     0.0000e+00
      4.010e-01          5.6000e+02     0.0000e+00
      4.010e-01          5.7000e+02     0.0000e+00
      4.010e-01          5.8000e+02     0.0000e+00
      4.010e-01          5.9000e+02     0.0000e+00
      4.010e-01          6.0000e+02     0.0000e+00
      4.010e-01          6.1000e+02     0.0000e+00
      4.010e-01          6.2000e+02     0.0000e+00
      4.010e-01          6.3000e+02     0.0000e+00
      4.010e-01          6.4000e+02     0.0000e+00
      4.010e-01          6.5000e+02     0.0000e+00
      4.010e-01          6.6000e+02     0.0000e+00
      4.010e-01          6.7000e+02     0.0000e+00
      4.010e-01          6.8000e+02     0.0000e+00
      4.010e-01          6.9000e+02     0.0000e+00

      4.400e-01          4.0000e+02     0.0000e+00
      4.400e-01          4.1000e+02     0.0000e+00
      4.400e-01          4.2000e+02     0.0000e+00
      4.400e-01          4.3000e+02     0.0000e+00
      4.400e-01          4.4000e+02     0.0000e+00
      4.400e-01          4.5000e+02     0.0000e+00
      4.400e-01          4.6000e+02     0.0000e+00
      4.400e-01          4.7000e+02     0.0000e+00
      4.400e-01          4.8000e+02     0.0000e+00
      4.400e-01          4.9000e+02     0.0000e+00
      4.400e-01          5.0000e+02     0.0000e+00
      4.400e-01          5.1000e+02     0.0000e+00
      4.400e-01          5.2000e+02     0.0000e+00
      4.400e-01          5.3000e+02     0.0000e+00
      4.400e-01          5.4000e+02     0.0000e+00
      4.400e-01          5.5000e+02     0.0000e+00
      4.400e-01          5.6000e+02     0.0000e+00
      4.400e-01          5.7000e+02     0.0000e+00
      4.400e-01          5.8000e+02     0.0000e+00
      4.400e-01          5.9000e+02     0.0000e+00
      4.400e-01          6.0000e+02     0.0000e+00
      4.400e-01          6.1000e+02     0.0000e+00
      4.400e-01          6.2000e+02     0.0000e+00
      4.400e-01          6.3000e+02     0.0000e+00
      4.400e-01          6.4000e+02     0.0000e+00
      4.400e-01          6.5000e+02     0.0000e+00
      4.400e-01          6.6000e+02     0.0000e+00
      4.400e-01          6.7000e+02     0.0000e+00
      4.400e-01          6.8000e+02     0.0000e+00
      4.400e-01          6.9000e+02     0.0000e+00

      4.790e-01          4.0000e+02     0.0000e+00
      4.790e-01          4.1000e+02     0.0000e+00
      4.790e-01          4.2000e+02     0.0000e+00
      4.790e-01          4.3000e+02     0.0000e+00
      4.790e-01          4.4000e+02     0.0000e+00
      4.790e-01          4.5000e+02     0.0000e+00
      4.790e-01          4.6000e+02     0.0000e+00
      4.790e-01          4.7000e+02     0.0000e+00
      4.790e-01          4.8000e+02     0.0000e+00
      4.790e-01          4.9000e+02     0.0000e+00
      4.790e-01          5.0000e+02     0.0000e+00
      4.790e-01          5.1000e+02     0.0000e+00
      4.790e-01          5.2000e+02     0.0000e+00
      4.790e-01          5.3000e+02     0.0000e+00
      4.790e-01          5.4000e+02     0.0000e+00
      4.790e-01          5.5000e+02     0.0000e+00
      4.790e-01          5.6000e+02     0.0000e+00
      4.790e-01          5.7000e+02     0.0000e+00
      4.790e-01          5.8000e+02     0.0000e+00
      4.790e-01          5.9000e+02     0.0000e+00
      4.790e-01          6.0000e+02     0.0000e+00
      4.790e-01          6.1000e+02     0.0000e+00
      4.790e-01          6.2000e+02     0.0000e+00
      4.790e-01          6.3000e+02     0.0000e+00
      4.790e-01          6.4000e+02     0.0000e+00
      4.790e-01          6.5000e+02     0.0000e+00
      4.790e-01          6.6000e+02     0.0000e+00
      4.790e-01          6.7000e+02     0.0000e+00
      4.790e-01          6.8000e+02     0.0000e+00
      4.790e-01          6.9000e+02     0.0000e+00

      5.180e-01          4.0000e+02     0.0000e+00
      5.180e-01          4.1000e+02     0.0000e+00
      5.180e-01          4.2000e+02     0.0000e+00
      5.180e-01          4.3000e+02     0.0000e+00
      5.180e-01          4.4000e+02     0.0000e+00
      5.180e-01          4.5000e+02     0.0000e+00
      5.180e-01          4.6000e+02     0.0000e+00
      5.180e-01          4.7000e+02     0.0000e+00
      5.180e-01          4.8000e+02     0.0000e+00
      5.180e-01          4.9000e+02     0.0000e+00
      5.180e-01          5.0000e+02     0.0000e+00
      5.180e-01          5.1000e+02     0.0000e+00
      5.180e-01          5.2000e+02     0.0000e+00
      5.180e-01          5.3000e+02     0.0000e+00
      5.180e-01          5.4000e+02     0.0000e+00
      5.180e-01          5.5000e+02     0.0000e+00
      5.180e-01          5.6000e+02     0.0000e+00
      5.180e-01          5.7000e+02     0.0000e+00
      5.180e-01          5.8000e+02     0.0000e+00
      5.180e-01          5.9000e+02     0.0000e+00
      5.180e-01          6.0000e+02     0.0000e+00
      5.180e-01          6.1000e+02     0.0000e+00
      5.180e-01          6.2000e+02     0.0000e+00
      5.180e-01          6.3000e+02     0.0000e+00
      5.180e-01          6.4000e+02     0.0000e+00
      5.180e-01          6.5000e+02     0.0000e+00
      5.180e-01          6.6000e+02     0.0000e+00
      5.180e-01          6.7000e+02     0.0000e+00
      5.180e-01          6.8000e+02     0.0000e+00
      5.180e-01          6.9000e+02     0.0000e+00

      5.570e-01          4.0000e+02     0.0000e+00
      5.570e-01          4.1000e+02     0.0000e+00
      5.570e-01          4.2000e+02     0.0000e+00
      5.570e-01          4.3000e+02     0.0000e+00
      5.570e-01          4.4000e+02     0.0000e+00
      5.570e-01          4.5000e+02     0.0000e+00
      5.570e-01          4.6000e+02     0.0000e+00
      5.570e-01          4.7000e+02     0.0000e+00
      5.570e-01          4.8000e+02     0.0000e+00
      5.570e-01          4.9000e+02     0.0000e+00
      5.570e-01          5.0000e+02     0.0000e+00
      5.570e-01          5.1000e+02     0.0000e+00
      5.570e-01          5.2000e+02     0.0000e+00
      5.570e-01          5.3000e+02     0.0000e+00
      5.570e-01          5.4000e+02     0.0000e+00
      5.570e-01          5.5000e+02     0.0000e+00
      5.570e-01          5.6000e+02     0.0000e+00
      5.570e-01          5.7000e+02     0.0000e+00
      5.570e-01          5.8000e+02     0.0000e+00
      5.570e-01          5.9000e+02     0.0000e+00
      5.570e-01          6.0000e+02     0.0000e+00
      5.570e-01          6.1000e+02     0.0000e+00
      5.570e-01          6.2000e+02     0.0000e+00
      5.570e-01          6.3000e+02     0.0000e+00
      5.570e-01          6.4000e+02     0.0000e+00
      5.570e-01          6.5000e+02     0.0000e+00
      5.570e-01          6.6000e+02     0.0000e+00
      5.570e-01          6.7000e+02     0.0000e+00
      5.570e-01          6.8000e+02     0.0000e+00
      5.570e-01          6.9000e+02     0.0000e+00

      5.960e-01          4.0000e+02     0.0000e+00
      5.960e-01          4.1000e+02     0.0000e+00
      5.960e-01          4.2000e+02     0.0000e+00
      5.960e-01          4.3000e+02     0.0000e+00
      5.960e-01          4.4000e+02     0.0000e+00
      5.960e-01          4.5000e+02     0.0000e+00
      5.960e-01          4.6000e+02     0.0000e+00
      5.960e-01          4.7000e+02     0.0000e+00
      5.960e-01          4.8000e+02     0.0000e+00
      5.960e-01          4.9000e+02     0.0000e+00
      5.960e-01          5.0000e+02     0.0000e+00
      5.960e-01          5.1000e+02     0.0000e+00
      5.960e-01          5.2000e+02     0.0000e+00
      5.960e-01          5.3000e+02     0.0000e+00
      5.960e-01          5.4000e+02     0.0000e+00
      5.960e-01          5.5000e+02     0.0000e+00
      5.960e-01          5.6000e+02     0.0000e+00
      5.960e-01          5.7000e+02     0.0000e+00
      5.960e-01          5.8000e+02     0.0000e+00
      5.960e-01          5.9000e+02     0.0000e+00
      5.960e-01          6.0000e+02     0.0000e+00
      5.960e-01          6.1000e+02     0.0000e+00
      5.960e-01          6.2000e+02     0.0000e+00
      5.960e-01          6.3000e+02     0.0000e+00
      5.960e-01          6.4000e+02     0.0000e+00
      5.960e-01          6.5000e+02     0.0000e+00
      5.960e-01          6.6000e+02     0.0000e+00
      5.960e-01          6.7000e+02     0.0000e+00
      5.960e-01          6.8000e+02     0.0000e+00
      5.960e-01          6.9000e+02     0.0000e+00

      6.350e-01          4.0000e+02     0.0000e+00
      6.350e-01          4.1000e+02     0.0000e+00
      6.350e-01          4.2000e+02     0.0000e+00
      6.350e-01          4.3000e+02     0.0000e+00
      6.350e-01          4.4000e+02     0.0000e+00
      6.350e-01          4.5000e+02     0.0000e+00
      6.350e-01          4.6000e+02     0.0000e+00
      6.350e-01          4.7000e+02     0.0000e+00
      6.350e-01          4.8000e+02     0.0000e+00
      6.350e-01          4.9000e+02     0.0000e+00
      6.350e-01          5.0000e+02     0.0000e+00
      6.350e-01          5.1000e+02     0.0000e+00
      6.350e-01          5.2000e+02     0.0000e+00
      6.350e-01          5.3000e+02     0.0000e+00
      6.350e-01          5.4000e+02     0.0000e+00
      6.350e-01          5.5000e+02     0.0000e+00
      6.350e-01          5.6000e+02     0.0000e+00
      6.350e-01          5.7000e+02     0.0000e+00
      6.350e-01          5.8000e+02     0.0000e+00
      6.350e-01          5.9000e+02     0.0000e+00
      6.350e-01          6.0000e+02     0.0000e+00
      6.350e-01          6.1000e+02     0.0000e+00
      6.350e-01          6.2000e+02     0.0000e+00
      6.350e-01          6.3000e+02     0.0000e+00
      6.350e-01          6.4000e+02     0.0000e+00
      6.350e-01          6.5000e+02     0.0000e+00
      6.350e-01          6.6000e+02     0.0000e+00
      6.350e-01          6.7000e+02     0.0000e+00
      6.350e-01          6.8000e+02     0.0000e+00
      6.350e-01          6.9000e+02     0.0000e+00

      6.740e-01          4.0000e+02     0.0000e+00
      6.740e-01          4.1000e+02     0.0000e+00
      6.740e-01          4.2000e+02     0.0000e+00
      6.740e-01          4.3000e+02     0.0000e+00
      6.740e-01          4.4000e+02     0.0000e+00
      6.740e-01          4.5000e+02     0.0000e+00
      6.740e-01          4.6000e+02     0.0000e+00
      6.740e-01          4.7000e+02     0.0000e+00
      6.740e-01          4.8000e+02     0.0000e+00
      6.740e-01          4.9000e+02     0.0000e+00
      6.740e-01          5.0000e+02     0.0000e+00
      6.740e-01          5.1000e+02     0.0000e+00
      6.740e-01          5.2000e+02     0.0000e+00
      6.740e-01          5.3000e+02     0.0000e+00
      6.740e-01          5.4000e+02     0.0000e+00
      6.740e-01          5.5000e+02     0.0000e+00
      6.740e-01          5.6000e+02     0.0000e+00
      6.740e-01          5.7000e+02     0.0000e+00
      6.740e-01          5.8000e+02     0.0000e+00
      6.740e-01          5.9000e+02     0.0000e+00
      6.740e-01          6.0000e+02     0.0000e+00
      6.740e-01          6.1000e+02     0.0000e+00
      6.740e-01          6.2000e+02     0.0000e+00
      6.740e-01          6.3000e+02     0.0000e+00
      6.740e-01          6.4000e+02     0.0000e+00
      6.740e-01          6.5000e+02     0.0000e+00
      6.740e-01          6.6000e+02     0.0000e+00
      6.740e-01          6.7000e+02     0.0000e+00
      6.740e-01          6.8000e+02     0.0000e+00
      6.740e-01          6.9000e+02     0.0000e+00

      7.130e-01          4.0000e+02     0.0000e+00
      7.130e-01          4.1000e+02     0.0000e+00
      7.130e-01          4.2000e+02     0.0000e+00
      7.130e-01          4.3000e+02     0.0000e+00
      7.130e-01          4.4000e+02     0.0000e+00
      7.130e-01          4.5000e+02     0.0000e+00
      7.130e-01          4.6000e+02     0.0000e+00
      7.130e-01          4.7000e+02     0.0000e+00
      7.130e-01          4.8000e+02     0.0000e+00
      7.130e-01          4.9000e+02     0.0000e+00
      7.130e-01          5.0000e+02     0.0000e+00
      7.130e-01          5.1000e+02     0.0000e+00
      7.130e-01          5.2000e+02     0.0000e+00
      7.130e-01          5.3000e+02     0.0000e+00
      7.130e-01          5.4000e+02     0.0000e+00
      7.130e-01          5.5000e+02     0.0000e+00
      7.130e-01          5.6000e+02     0.0000e+00
      7.130e-01          5.7000e+02     0.0000e+00
      7.130e-01          5.8000e+02     0.0000e+00
      7.130e-01          5.9000e+02     0.0000e+00
      7.130e-01          6.0000e+02     0.0000e+00
      7.130e-01          6.1000e+02     0.0000e+00
      7.130e-01          6.2000e+02     0.0000e+00
      7.130e-01          6.3000e+02     0.0000e+00
      7.130e-01          6.4000e+02     0.0000e+00
      7.130e-01          6.5000e+02     0.0000e+00
      7.130e-01          6.6000e+02     0.0000e+00
      7.130e-01          6.7000e+02     0.0000e+00
      7.130e-01          6.8000e+02     0.0000e+00
      7.130e-01          6.9000e+02     0.0000e+00

      7.520e-01          4.0000e+02     0.0000e+00
      7.520e-01          4.1000e+02     0.0000e+00
      7.520e-01          4.2000e+02     0.0000e+00
      7.520e-01          4.3000e+02     0.0000e+00
      7.520e-01          4.4000e+02     0.0000e+00
      7.520e-01          4.5000e+02     0.0000e+00
      7.520e-01          4.6000e+02     0.0000e+00
      7.520e-01          4.7000e+02     0.0000e+00
      7.520e-01          4.8000e+02     0.0000e+00
      7.520e-01          4.9000e+02     0.0000e+00
      7.520e-01          5.0000e+02     0.0000e+00
      7.520e-01          5.1000e+02     0.0000e+00
      7.520e-01          5.2000e+02     0.0000e+00
      7.520e-01          5.3000e+02     0.0000e+00
      7.520e-01          5.4000e+02     0.0000e+00
      7.520e-01          5.5000e+02     0.0000e+00
      7.520e-01          5.6000e+02     0.0000e+00
      7.520e-01          5.7000e+02     0.0000e+00
      7.520e-01          5.8000e+02     0.0000e+00
      7.520e-01          5.9000e+02     0.0000e+00
      7.520e-01          6.0000e+02     0.0000e+00
      7.520e-01          6.1000e+02     0.0000e+00
      7.520e-01          6.2000e+02     0.0000e+00
      7.520e-01          6.3000e+02     0.0000e+00
      7.520e-01          6.4000e+02     0.0000e+00
      7.520e-01          6.5000e+02     0.0000e+00
      7.520e-01          6.6000e+02     0.0000e+00
      7.520e-01          6.7000e+02     0.0000e+00
      7.520e-01          6.8000e+02     0.0000e+00
      7.520e-01          6.9000e+02     0.0000e+00

      7.910e-01          4.0000e+02     0.0000e+00
      7.910e-01          4.1000e+02     0.0000e+00
      7.910e-01          4.2000e+02     0.0000e+00
      7.910e-01          4.3000e+02     0.0000e+00
      7.910e-01          4.4000e+02     0.0000e+00
      7.910e-01          4.5000e+02     0.0000e+00
      7.910e-01          4.6000e+02     0.0000e+00
      7.910e-01          4.7000e+02     0.0000e+00
      7.910e-01          4.8000e+02     0.0000e+00
      7.910e-01          4.9000e+02     0.0000e+00
